Kubek;Dno
55,5;41,5
55,44;41,5
55,38;41,5
55,31;41,4
55,25;41,4
55,19;41,4
55,13;41,3
55,06;41,3
55;41,3
54,94;41,3
54,88;41,2
54,81;41,2
54,75;41,2
54,69;41,1
54,63;41,1
54,56;41,1
54,5;41
54,44;41
54,38;41
54,31;41
54,25;40,9
54,19;40,9
54,13;40,8
54,06;40,8
54;40,8
53,94;40,7
53,88;40,7
53,81;40,7
53,75;40,6
53,69;40,6
53,63;40,6
53,56;40,5
53,5;40,5
53,44;40,5
53,38;40,4
53,31;40,4
53,25;40,4
53,19;40,3
53,13;40,3
53,06;40,3
53;40,2
52,94;40,2
52,88;40,2
52,81;40,1
52,75;40,1
52,69;40,1
52,63;40
52,56;40
52,5;40
52,44;40
52,38;39,9
52,38;39,9
52,31;39,9
52,25;39,8
52,19;39,8
52,13;39,8
52,06;39,7
52;39,7
51,94;39,7
51,94;39,7
51,88;39,6
51,81;39,6
51,75;39,6
51,69;39,5
51,63;39,5
51,56;39,4
51,5;39,4
51,44;39,4
51,38;39,3
51,31;39,3
51,25;39,2
51,19;39,2
51,13;39,2
51,06;39,1
51;39,1
50,94;39,1
50,88;39
50,81;39
50,75;39
50,69;38,9
50,63;38,9
50,63;38,9
50,56;38,9
50,5;38,8
50,5;38,8
50,44;38,8
50,38;38,8
50,38;38,8
50,31;38,7
50,25;38,7
50,19;38,6
50,19;38,6
50,13;38,6
50,06;38,6
50;38,6
50;38,5
50;38,5
49,94;38,5
49,88;38,5
49,88;38,5
49,88;38,4
49,81;38,4
49,81;38,4
49,75;38,4
49,69;38,3
49,63;38,3
49,56;38,3
49,56;38,3
49,5;38,2
49,44;38,2
49,38;38,1
49,31;38,1
49,25;38,1
49,25;38,1
49,19;38,1
49,13;38
49,13;38
49,06;38
49;37,9
48,94;37,9
48,88;37,9
48,81;37,8
48,75;37,8
48,75;37,8
48,69;37,8
48,63;37,7
48,56;37,7
48,5;37,6
48,44;37,6
48,38;37,5
48,31;37,5
48,25;37,5
48,19;37,5
48,19;37,4
48,13;37,4
48,06;37,4
48;37,3
47,94;37,3
47,88;37,3
47,81;37,2
47,75;37,2
47,69;37,1
47,63;37,1
47,63;37,1
47,56;37,1
47,5;37
47,44;37
47,38;36,9
47,31;36,9
47,25;36,9
47,25;36,9
47,19;36,8
47,13;36,8
47,06;36,8
47;36,7
47;36,7
46,94;36,7
46,88;36,6
46,81;36,6
46,81;36,6
46,75;36,6
46,69;36,5
46,63;36,5
46,56;36,4
46,5;36,4
46,44;36,4
46,38;36,3
46,31;36,3
46,25;36,3
46,19;36,2
46,19;36,2
46,13;36,2
46,06;36,1
46;36,1
45,94;36,1
45,88;36
45,81;36
45,75;36
45,69;35,9
45,63;35,9
45,56;35,9
45,5;35,8
45,44;35,8
45,38;35,7
45,31;35,7
45,25;35,7
45,25;35,7
45,19;35,6
45,13;35,6
45,06;35,6
45;35,5
44,94;35,5
44,94;35,5
44,88;35,4
44,81;35,4
44,75;35,4
44,69;35,3
44,63;35,3
44,56;35,2
44,5;35,2
44,44;35,2
44,44;35,2
44,38;35,1
44,31;35,1
44,31;35,1
44,25;35,1
44,25;35,1
44,19;35
44,13;35
44,06;35
44;34,9
43,94;34,9
43,88;34,8
43,81;34,8
43,75;34,8
43,69;34,7
43,63;34,7
43,63;34,7
43,56;34,6
43,5;34,6
43,44;34,5
43,44;34,5
43,38;34,5
43,31;34,5
43,25;34,4
43,19;34,4
43,13;34,4
43,06;34,3
43;34,3
42,94;34,2
42,88;34,2
42,81;34,1
42,75;34,1
42,69;34,1
42,63;34
42,56;34
42,5;33,9
42,44;33,9
42,38;33,9
42,31;33,8
42,25;33,8
42,19;33,8
42,13;33,7
42,06;33,7
42;33,6
41,94;33,6
41,88;33,6
41,81;33,5
41,81;33,5
41,75;33,5
41,75;33,5
41,69;33,5
41,63;33,4
41,56;33,4
41,5;33,3
41,44;33,3
41,38;33,3
41,31;33,2
41,25;33,2
41,19;33,1
41,13;33,1
41,06;33
41;33
40,94;33
40,88;32,9
40,81;32,9
40,75;32,8
40,69;32,8
40,69;32,8
40,63;32,8
40,56;32,7
40,5;32,7
40,44;32,6
40,38;32,6
40,31;32,6
40,25;32,6
40,19;32,6
40,13;32,5
40,06;32,6
40;32,5
39,94;32,5
39,88;32,5
39,88;32,5
39,81;32,5
39,75;32,5
39,75;32,5
39,69;32,5
39,69;32,5
39,63;32,5
39,56;32,5
39,5;32,5
39,44;32,5
39,38;32,5
39,31;32,5
39,25;32,5
39,25;32,5
39,19;32,4
39,13;32,4
39,06;32,4
39;32,4
38,94;32,4
38,88;32,3
38,81;32,3
38,75;32,3
