Dno;Kubek
43,8;54,63
43,8;54,56
43,8;54,5
43,7;54,5
43,7;54,44
43,7;54,38
43,6;54,31
43,6;54,25
43,6;54,19
43,5;54,13
43,5;54,06
43,4;54
43,4;53,94
43,4;53,88
43,3;53,81
43,3;53,75
43,2;53,69
43,2;53,63
43,2;53,56
43,1;53,5
43,1;53,44
43;53,38
43;53,31
43;53,25
42,9;53,19
42,9;53,13
42,8;53,06
42,8;53
42,8;52,94
42,7;52,88
42,7;52,81
42,6;52,75
42,6;52,69
42,6;52,63
42,5;52,56
42,5;52,5
42,5;52,44
42,4;52,38
42,3;52,31
42,3;52,25
42,3;52,25
42,3;52,19
42,2;52,13
42,2;52,06
42,2;52
42,1;51,94
42,1;51,88
42;51,81
42;51,75
42;51,75
41,9;51,69
41,9;51,63
41,9;51,56
41,8;51,5
41,8;51,44
41,8;51,38
41,7;51,31
41,7;51,25
41,6;51,19
41,6;51,13
41,5;51,06
41,5;51
41,4;50,94
41,4;50,88
41,4;50,81
41,3;50,75
41,3;50,69
41,3;50,63
41,2;50,63
41,2;50,56
41,2;50,5
41,1;50,44
41,1;50,38
41,1;50,38
41;50,31
41;50,25
41;50,19
40,9;50,13
40,9;50,06
40,8;50
40,8;49,94
40,8;49,88
40,7;49,81
40,7;49,81
40,7;49,75
40,6;49,69
40,6;49,63
40,5;49,56
40,5;49,5
40,5;49,44
40,4;49,38
40,4;49,31
40,3;49,25
40,3;49,19
40,3;49,13
40,2;49,06
40,2;49
40,2;49
40,1;48,94
40,1;48,88
40,1;48,88
40,1;48,88
40;48,81
40;48,81
40;48,75
39,9;48,69
39,9;48,63
39,9;48,63
39,9;48,63
39,9;48,56
39,8;48,5
39,8;48,5
39,8;48,5
39,8;48,44
39,8;48,38
39,7;48,31
39,7;48,31
39,7;48,25
39,7;48,19
39,7;48,19
39,6;48,19
39,6;48,13
39,6;48,13
39,6;48,06
39,5;48,06
39,5;48
39,5;47,94
39,5;47,94
39,5;47,94
39,5;47,88
39,4;47,88
39,4;47,81
39,4;47,81
39,4;47,75
39,4;47,75
39,4;47,75
39,3;47,69
39,3;47,69
39,3;47,63
39,3;47,63
39,3;47,56
39,3;47,56
39,2;47,5
39,2;47,44
39,2;47,44
39,1;47,38
39,1;47,38
39,1;47,31
39,1;47,31
39;47,25
39;47,25
39;47,19
39;47,13
38,9;47,06
38,9;47
38,8;46,94
38,8;46,88
38,7;46,81
38,7;46,75
38,7;46,69
38,6;46,63
38,6;46,56
38,5;46,5
38,5;46,44
38,5;46,44
38,5;46,38
38,4;46,31
38,4;46,31
38,4;46,25
38,4;46,19
38,3;46,13
38,3;46,13
38,3;46,06
38,2;46
38,2;45,94
38,1;45,88
38,1;45,81
38,1;45,75
38;45,69
38;45,63
37,9;45,56
37,9;45,5
37,9;45,5
37,9;45,44
37,8;45,38
37,8;45,38
37,8;45,31
