Podstawa;Dno;Kubek
895;33,7;39,13
896;33,7;39,13
897;33,7;39,06
898;33,6;39
899;33,6;39
900;33,6;39
901;33,6;38,94
902;33,6;38,88
903;33,5;38,81
904;33,5;38,81
905;33,5;38,75
906;33,5;38,75
907;33,4;38,69
908;33,4;38,63
909;33,4;38,56
910;33,3;38,5
911;33,3;38,44
912;33,2;38,44
913;33,2;38,38
914;33,2;38,31
915;33,2;38,25
916;33,1;38,25
917;33,1;38,19
918;33,1;38,13
919;33,1;38,13
920;33;38,13
921;33;38,06
922;33;38
923;33;38
924;32,9;37,94
925;32,9;37,88
926;32,8;37,81
927;32,8;37,75
928;32,8;37,69
929;32,7;37,69
930;32,7;37,63
931;32,7;37,63
932;32,7;37,56
933;32,6;37,5
934;32,6;37,44
935;32,5;37,38
936;32,5;37,31
937;32,5;37,25
938;32,5;37,25
939;32,4;37,19
940;32,4;37,13
941;32,3;37,06
942;32,3;37
943;32,2;36,94
944;32,2;36,88
945;32,2;36,88
946;32,2;36,81
947;32,1;36,75
948;32,1;36,75
949;32,1;36,69
950;32,1;36,69
951;32;36,63
952;32;36,56
953;32;36,5
954;31,9;36,5
955;31,9;36,44
956;31,9;36,44
957;31,9;36,38
958;31,9;36,38
959;31,8;36,31
960;31,8;36,31
961;31,8;36,25
962;31,8;36,25
963;31,8;36,19
964;31,7;36,13
965;31,7;36,06
966;31,6;36,06
967;31,6;36
968;31,6;36
969;31,6;35,94
970;31,5;35,88
971;31,5;35,81
972;31,5;35,81
973;31,5;35,75
974;31,4;35,75
975;31,4;35,69
976;31,4;35,63
977;31,3;35,56
978;31,3;35,56
979;31,3;35,5
980;31,2;35,44
981;31,2;35,44
