Dno;Kubek
44,6;59,31
44,6;59,25
44,6;59,19
44,5;59,13
44,5;59,06
44,4;59
44,4;58,94
44,4;58,88
44,3;58,81
44,3;58,75
44,3;58,69
44,2;58,63
44,2;58,56
44,2;58,5
44,1;58,44
44,1;58,38
44,1;58,31
44;58,25
44;58,19
44;58,13
43,9;58,06
43,9;58
43,9;57,94
43,8;57,88
43,8;57,81
43,7;57,75
43,7;57,69
43,7;57,63
43,6;57,56
43,6;57,5
43,6;57,44
43,5;57,38
43,5;57,31
43,5;57,25
43,4;57,19
43,4;57,13
43,3;57,06
43,3;57
43,3;56,94
43,2;56,88
43,2;56,81
43,2;56,75
43,1;56,69
43,1;56,63
43;56,56
43;56,5
43;56,44
42,9;56,38
42,9;56,31
42,8;56,25
42,8;56,19
42,8;56,13
42,8;56,06
42,7;56
42,7;55,94
42,6;55,88
42,6;55,81
42,6;55,75
42,5;55,69
42,5;55,63
42,5;55,56
42,4;55,5
42,4;55,44
42,3;55,38
42,3;55,31
42,3;55,25
42,2;55,19
42,2;55,13
42,2;55,06
42,1;55
42,1;54,94
42;54,88
42;54,81
41,9;54,75
41,9;54,69
41,9;54,63
41,8;54,56
41,8;54,5
41,8;54,44
41,7;54,38
41,7;54,31
41,7;54,25
41,6;54,19
41,5;54,13
41,5;54,06
41,5;54
41,4;53,94
41,4;53,88
41,4;53,81
41,3;53,75
41,3;53,69
41,2;53,63
41,2;53,56
41,2;53,5
41,1;53,44
41,1;53,38
41;53,31
41;53,25
41;53,19
40,9;53,13
40,9;53,06
40,8;53
40,8;52,94
40,8;52,88
40,7;52,81
40,7;52,75
40,7;52,69
40,6;52,63
40,6;52,56
40,6;52,5
40,5;52,44
40,5;52,38
40,4;52,31
40,4;52,25
40,4;52,19
40,3;52,13
40,3;52,06
40,2;52
40,2;51,94
40,1;51,88
40,1;51,81
40,1;51,75
40;51,69
40;51,63
39,9;51,56
39,9;51,5
39,9;51,44
39,8;51,38
39,8;51,31
39,8;51,25
39,7;51,19
39,7;51,13
39,7;51,06
39,6;51
39,6;50,94
39,5;50,88
39,5;50,81
39,5;50,75
39,4;50,69
39,4;50,63
39,3;50,56
39,3;50,5
39,2;50,44
39,2;50,38
39,2;50,31
39,1;50,25
39,1;50,19
39;50,13
39;50,06
39;50
38,9;49,94
38,9;49,88
38,9;49,88
38,8;49,81
38,8;49,75
38,8;49,69
38,7;49,63
38,7;49,56
38,7;49,5
38,6;49,44
38,6;49,38
38,6;49,38
38,5;49,31
38,5;49,25
38,4;49,19
38,4;49,13
38,4;49,06
38,4;49,06
38,3;49
38,3;49
38,3;49
38,3;48,94
38,3;48,94
38,3;48,88
38,3;48,88
38,2;48,81
38,2;48,75
38,1;48,69
38,1;48,63
38,1;48,56
38;48,5
38;48,44
37,9;48,38
37,9;48,31
37,8;48,25
37,8;48,19
37,8;48,13
37,8;48,06
37,7;48
37,6;47,94
37,6;47,88
37,6;47,81
37,5;47,75
37,5;47,69
37,4;47,63
37,4;47,56
37,3;47,5
37,3;47,44
37,3;47,44
37,3;47,38
37,2;47,31
37,2;47,25
37,1;47,19
37,1;47,13
37,1;47,06
37;47
37;46,94
37;46,88
36,9;46,81
36,9;46,75
36,8;46,69
36,8;46,63
36,8;46,56
36,7;46,5
36,7;46,44
36,6;46,38
36,6;46,31
36,6;46,25
36,5;46,19
36,5;46,13
36,4;46,06
36,4;46
36,4;45,94
36,3;45,88
36,3;45,81
36,3;45,75
36,2;45,69
36,2;45,63
36,1;45,56
36,1;45,5
36,1;45,44
36;45,38
36;45,31
35,9;45,25
35,9;45,19
35,9;45,13
35,8;45,06
35,7;45
35,7;44,94
35,7;44,88
35,6;44,81
35,6;44,75
35,5;44,69
35,5;44,63
35,5;44,56
35,4;44,5
35,4;44,44
35,4;44,38
35,3;44,31
35,3;44,25
35,3;44,19
35,2;44,13
35,2;44,06
35,1;44
35,1;43,94
35;43,88
35;43,81
35;43,75
34,9;43,69
34,9;43,63
34,8;43,56
34,8;43,5
34,7;43,44
34,7;43,38
34,7;43,31
34,6;43,25
34,6;43,19
34,6;43,13
34,5;43,06
34,5;43
34,4;42,94
34,4;42,88
34,4;42,81
34,3;42,75
34,3;42,69
34,2;42,63
34,2;42,56
34,2;42,5
34,1;42,44
34,1;42,38
34,1;42,31
34;42,25
34;42,19
33,9;42,13
33,9;42,06
33,9;42
33,8;41,94
33,8;41,88
33,7;41,81
33,7;41,75
