Kubek;Dno
57,56;39,6
57,50;39,5
57,44;39,5
57,38;39,5
57,31;39,5
57,25;39,4
57,19;39,4
57,13;39,4
57,06;39,4
57,00;39,4
56,94;39,3
56,88;39,3
56,81;39,3
56,75;39,3
56,69;39,2
56,63;39,2
56,56;39,2
56,50;39,2
56,44;39,1
56,38;39,1
56,31;39,1
56,25;39,1
56,19;39,1
56,13;39,0
56,06;39,0
56,00;39,0
55,94;39,0
55,88;38,9
55,81;38,9
55,75;38,9
55,69;38,8
55,63;38,8
55,56;38,8
55,50;38,8
55,44;38,8
55,38;38,7
55,31;38,7
55,25;38,7
55,19;38,6
55,13;38,6
55,06;38,6
55,00;38,6
54,94;38,5
54,88;38,5
54,81;38,5
54,75;38,5
54,69;38,4
54,63;38,4
54,56;38,4
54,50;38,3
54,44;38,3
54,38;38,3
54,31;38,3
54,25;38,3
54,19;38,2
54,19;38,2
54,13;38,2
54,06;38,2
54,00;38,1
53,94;38,1
53,88;38,1
53,81;38,0
53,75;38,0
53,69;38,0
53,63;38,0
53,56;37,9
53,50;37,9
53,44;37,9
53,38;37,8
53,31;37,8
53,25;37,8
53,19;37,8
53,13;37,7
53,13;37,7
53,06;37,7
53,00;37,7
52,94;37,6
52,88;37,6
52,81;37,6
52,75;37,6
52,69;37,5
52,63;37,5
52,56;37,5
52,50;37,4
52,44;37,4
52,38;37,4
52,31;37,4
52,25;37,3
52,19;37,3
52,13;37,3
52,06;37,2
52,00;37,2
51,94;37,2
51,88;37,1
51,81;37,1
51,81;37,1
51,75;37,1
51,69;37,1
51,63;37,0
51,56;37,0
51,50;37,0
51,44;37,0
51,38;36,9
51,31;36,9
51,25;36,9
51,19;36,9
51,13;36,9
51,06;36,8
51,00;36,8
50,94;36,8
50,88;36,7
50,81;36,7
50,75;36,7
50,69;36,6
50,63;36,6
50,56;36,5
50,50;36,5
50,44;36,5
50,38;36,5
50,31;36,4
50,25;36,4
50,19;36,4
50,13;36,4
50,06;36,4
50,00;36,3
49,94;36,3
49,88;36,2
49,81;36,2
49,75;36,2
49,75;36,2
49,75;36,1
49,69;36,1
49,63;36,1
49,56;36,0
49,50;36,0
49,44;36,0
49,44;36,0
49,38;36,0
49,31;35,9
49,25;35,9
49,25;35,9
49,19;35,8
49,13;35,8
49,13;35,8
49,06;35,8
49,06;35,8
49,00;35,8
49,00;35,8
48,94;35,7
48,88;35,7
48,81;35,7
48,81;35,7
48,75;35,6
48,75;35,6
48,69;35,6
48,63;35,6
48,63;35,6
48,63;35,6
48,56;35,6
48,50;35,5
48,50;35,5
48,44;35,5
48,38;35,5
48,38;35,5
48,31;35,5
48,31;35,5
48,25;35,4
48,19;35,4
48,13;35,4
48,06;35,3
48,00;35,3
47,94;35,2
47,88;35,2
47,81;35,2
47,75;35,2
47,69;35,1
47,63;35,1
47,63;35,1
47,56;35,1
47,50;35,0
47,44;35,0
47,38;35,0
47,31;34,9
47,25;34,9
47,25;34,9
47,19;34,9
47,13;34,8
47,06;34,8
47,00;34,8
46,94;34,8
46,88;34,7
46,88;34,7
46,81;34,7
46,75;34,7
46,69;34,7
46,63;34,6
46,56;34,6
46,50;34,6
46,44;34,5
46,38;34,5
46,31;34,5
46,31;34,5
46,25;34,5
46,19;34,4
46,19;34,4
46,13;34,4
46,06;34,4
46,00;34,3
45,94;34,3
45,88;34,3
45,81;34,2
45,75;34,2
45,69;34,2
45,63;34,2
45,56;34,1
45,50;34,1
45,44;34,1
45,38;34,0
45,31;34,0
45,25;34,0
45,19;34,0
45,13;33,9
45,06;33,9
45,00;33,9
44,94;33,8
44,88;33,8
44,81;33,8
44,75;33,7
44,69;33,7
44,63;33,7
44,56;33,7
44,50;33,6
44,44;33,6
44,38;33,6
44,31;33,6
44,25;33,5
44,19;33,5
44,13;33,5
44,13;33,5
44,06;33,4
44,00;33,4
43,94;33,4
43,88;33,3
43,88;33,3
43,81;33,3
43,75;33,3
43,69;33,2
43,63;33,2
43,56;33,2
43,50;33,2
43,44;33,1
43,38;33,1
43,31;33,1
43,25;33,0
43,19;33,0
43,13;33,0
43,06;32,9
43,00;32,9
42,94;32,9
42,88;32,9
42,81;32,8
42,75;32,8
42,69;32,8
42,63;32,7
42,56;32,7
42,50;32,7
42,50;32,7
42,44;32,6
42,38;32,6
42,31;32,6
42,25;32,5
42,25;32,5
42,19;32,5
42,13;32,5
42,06;32,5
42,00;32,4
41,94;32,4
41,88;32,4
41,88;32,4
41,81;32,3
41,81;32,3
41,75;32,3
41,75;32,3
41,69;32,3
41,63;32,2
41,56;32,2
41,56;32,2
41,50;32,2
41,44;32,1
41,38;32,1
41,31;32,1
41,25;32,0
41,19;32,0
41,13;32,0
41,13;32,0
41,06;31,9
41,00;31,9
40,94;31,9
40,88;31,8
40,81;31,8
40,75;31,8
40,69;31,7
40,63;31,7
40,56;31,7
40,50;31,7
40,50;31,7
40,44;31,6
40,38;31,6
40,31;31,6
40,25;31,5
40,25;31,5
40,19;31,5
40,19;31,5
40,13;31,5
40,06;31,4
40,06;31,4
40,00;31,4
40,00;31,4
39,94;31,4
39,94;31,4
39,88;31,3
39,81;31,3
39,75;31,3
39,69;31,2
39,63;31,2
39,56;31,2
39,50;31,1
39,44;31,1
39,38;31,1
39,38;31,1
39,31;31,0
39,25;31,0
39,19;31,0
39,13;31,0
39,13;31,0
39,06;30,9
39,06;30,9
39,00;30,9
39,00;30,9
38,94;30,9
38,88;30,8
38,81;30,8
38,75;30,8
38,69;30,7
38,63;30,7
38,56;30,7
38,56;30,6
38,50;30,6
38,44;30,6
38,44;30,6
38,38;30,5
38,31;30,5
38,25;30,5
38,19;30,4
38,13;30,4
38,06;30,4
38,00;30,3
37,94;30,3
37,88;30,3
37,81;30,2
37,75;30,2
37,69;30,2
37,63;30,1
37,56;30,1
37,56;30,1
37,50;30,0
37,44;30,0
37,38;30,0
37,38;30,0
37,31;30,0
37,25;29,9
37,19;29,9
37,13;29,9
37,06;29,8
37,06;29,8
37,00;29,8
36,94;29,8
36,88;29,7
36,81;29,7
36,75;29,7
36,75;29,7
36,69;29,6
36,63;29,6
36,56;29,6
36,56;29,6
36,50;29,5
36,44;29,5
36,38;29,5
36,31;29,5
36,25;29,5
36,25;29,5
36,19;29,4
36,19;29,5
36,13;29,4
36,13;29,4
36,06;29,4
36,00;29,4
36,00;29,4
35,94;29,3
35,88;29,3
35,81;29,3
35,75;29,3
35,69;29,2
35,63;29,2
35,56;29,2
35,50;29,1
35,44;29,1
35,38;29,1
35,31;29,1
35,25;29,0
35,19;29,0
35,19;29,0
35,13;28,9
35,13;28,9
35,06;28,9
35,00;28,9
35,00;28,9
34,94;28,8
34,94;28,8
34,88;28,8
34,88;28,8
34,81;28,8
34,75;28,7
34,75;28,7
34,69;28,7
34,63;28,7
34,63;28,7
34,56;28,6
34,50;28,6
