Kubek;Dno
66,31;59,2
66,25;59,2
66,19;59,1
66,12;59,1
66,06;59,0
66,00;59,0
65,94;59,0
65,87;58,9
65,81;58,9
65,75;58,8
65,69;58,7
65,62;58,7
65,56;58,6
65,50;58,6
65,44;58,5
65,37;58,5
65,31;58,4
65,25;58,4
65,19;58,4
65,12;58,3
65,06;58,3
65,00;58,2
64,94;58,2
64,87;58,1
64,81;58,1
64,75;58,0
64,69;57,9
64,62;57,8
64,56;57,8
64,50;57,8
64,44;57,7
64,37;57,7
64,31;57,6
64,25;57,6
64,19;57,6
64,12;57,6
64,06;57,5
64,00;57,5
63,94;57,4
63,88;57,3
63,81;57,3
63,75;57,2
63,69;57,1
63,63;57,1
63,56;57,0
63,50;57,0
63,44;56,9
63,38;56,9
63,31;56,9
63,25;56,8
63,19;56,8
63,13;56,7
63,06;56,7
63,00;56,6
62,94;56,5
62,88;56,4
62,81;56,4
62,75;56,3
62,69;56,3
62,63;56,2
62,56;56,2
62,50;56,1
62,44;56,1
62,38;56,0
62,31;56,0
62,25;55,9
62,19;55,9
62,13;55,8
62,06;55,8
62,00;55,8
61,94;55,7
61,88;55,7
61,81;55,7
61,75;55,6
61,69;55,6
61,63;55,5
61,56;55,4
61,50;55,4
61,44;55,3
61,38;55,3
61,31;55,2
61,31;55,2
61,25;55,1
61,19;55,1
61,13;55,0
61,06;54,9
61,00;54,8
60,94;54,8
60,88;54,7
60,81;54,7
60,75;54,6
60,69;54,5
60,63;54,5
60,56;54,5
60,50;54,4
60,44;54,4
60,38;54,3
60,31;54,3
60,25;54,2
60,19;54,2
60,13;54,1
60,06;54,1
60,00;54,0
59,94;53,9
59,88;53,9
59,81;53,8
59,75;53,7
59,69;53,7
59,63;53,7
59,56;53,6
59,50;53,6
59,44;53,5
59,38;53,5
59,31;53,5
59,25;53,4
59,19;53,4
59,13;53,3
59,06;53,3
59,00;53,3
58,94;53,2
58,88;53,1
58,81;53,1
58,75;53,0
58,69;53,0
58,63;52,9
58,56;52,9
58,50;52,8
58,44;52,7
58,38;52,6
58,31;52,6
58,25;52,5
58,19;52,5
58,13;52,4
58,06;52,4
58,00;52,4
57,94;52,3
57,88;52,3
57,81;52,2
57,75;52,2
57,69;52,1
57,63;52,1
57,56;52,0
57,50;52,0
57,44;51,9
57,38;51,8
57,31;51,8
57,25;51,7
57,19;51,6
57,13;51,6
57,06;51,6
57,00;51,5
56,94;51,5
56,88;51,4
56,81;51,4
56,75;51,3
56,69;51,2
56,63;51,2
56,56;51,1
56,50;51,1
56,44;51,0
56,38;51,0
56,31;50,9
56,25;50,9
56,19;50,8
56,13;50,8
56,06;50,7
56,00;50,6
55,94;50,6
55,88;50,6
55,81;50,5
55,75;50,5
55,69;50,4
55,63;50,4
55,56;50,4
55,50;50,3
55,44;50,3
55,38;50,2
55,31;50,1
55,25;50,1
55,19;50,1
55,13;50,0
55,06;50,0
55,00;49,9
54,94;49,9
54,88;49,8
54,81;49,7
54,75;49,6
54,69;49,6
54,63;49,5
54,56;49,5
54,50;49,5
54,44;49,4
54,38;49,4
54,31;49,3
54,25;49,2
54,19;49,2
54,13;49,1
54,06;49,1
54,00;49,0
53,94;49,0
53,88;48,9
53,81;48,9
53,75;48,8
53,69;48,8
53,63;48,7
53,56;48,7
53,50;48,6
53,44;48,5
53,38;48,5
53,31;48,5
53,25;48,4
53,19;48,3
53,13;48,3
53,06;48,2
53,00;48,2
52,94;48,2
52,88;48,1
52,81;48,1
52,75;48,0
52,69;48,0
52,63;48,0
52,56;47,9
52,56;47,9
52,50;47,8
52,44;47,8
52,38;47,7
52,31;47,6
52,25;47,6
52,19;47,6
52,13;47,5
52,06;47,5
52,00;47,4
51,94;47,4
51,88;47,4
51,81;47,3
51,75;47,3
51,69;47,3
51,63;47,2
51,56;47,2
51,50;47,2
51,44;47,1
51,38;47,1
51,31;47,1
51,25;47,1
51,19;47,0
51,13;47,0
51,06;47,0
51,00;46,9
50,94;46,8
50,88;46,8
50,81;46,8
50,81;46,7
50,75;46,7
50,69;46,7
50,69;46,6
50,63;46,6
50,56;46,5
50,50;46,5
50,44;46,4
50,38;46,4
50,31;46,3
50,25;46,2
50,25;46,1
50,19;46,1
50,13;46,0
50,13;46,0
50,06;46,0
50,00;46,0
49,94;45,9
49,88;45,9
49,81;45,9
49,75;45,9
49,69;45,8
49,63;45,8
49,56;45,6
49,50;45,6
49,44;45,5
49,38;45,5
49,31;45,4
49,25;45,4
49,19;45,3
49,13;45,3
49,06;45,3
49,00;45,3
48,94;45,2
48,88;45,2
48,81;45,1
48,75;45,0
48,69;44,9
48,63;44,8
48,56;44,8
48,50;44,8
